syllable,idf
mdzes,9642
bzlog,9620
bsgoms,9588
spang,9584
bos,9535
thug,9516
tshor,9509
'chi,9444
aom,9422
bud,9410
khong,9372
bon,9360
bsnyen,9343
'gal,9330
brgyan,9290
spyi,9225
dgu,9221
dmar,9144
mod,9098
thub,9057
snod,9053
na'o,8979
rtsi,8975
ba'am,8974
po'o,8966
btab,8921
byams,8910
gser,8884
'am,8748
khyer,8704
mkha'i,8675
ltos,8620
rdzas,8610
la'o,8606
bsgyur,8579
shar,8537
myur,8533
bus,8507
btags,8480
ram,8474
bum,8455
'grus,8452
grong,8437
the,8433
mdun,8416
cag,8409
'phel,8384
ce,8377
ltung,8348
tshom,8336
zhen,8298
ti,8280
bam,8277
snyed,8274
gu,8271
sman,8218
dpe,8211
ches,8208
brtag,8192
btsun,8191
nu,8186
byad,8175
tshun,8149
rna,8147
le,8144
bskur,8140
sdang,8136
brtsams,8110
bsal,8105
nag,8069
sgyu,8004
nub,7973
a'a,7972
phun,7914
phyis,7875
'dres,7864
tsha,7777
bslab,7774
khrag,7730
rdul,7718
pa'ang,7693
sgrib,7684
mthu,7645
bskal,7616
bu'o,7608
mchis,7607
khyed,7603
'jam,7579
'thob,7553
'ba',7547
gtsug,7544
sbyong,7531
bstod,7512
mched,7507
bkod,7505
gtong,7500
bcug,7437
rta,7421
du'o,7399
bgyi,7383
gzigs,7369
gdon,7364
char,7363
mdog,7355
thun,7338
srung,7297
mdor,7284
la'ang,7280
khu,7278
bza',7265
mtsho,7264
'chang,7243
drang,7230
gnyi,7220
rims,7217
bskyod,7207
khas,7191
ku,7162
zhabs,7159
'joms,7143
bcos,7136
drag,7135
'byin,7059
sel,7032
h'a,7001
ga'i,6986
le'u,6985
bzhi'i,6983
gus,6964
gzhug,6962
bcings,6940
dbyangs,6935
'khrul,6927
dza,6914
nar,6874
pu,6872
she,6863
bi,6851
bha,6842
che'i,6813
rdzu,6797
zab,6792
glang,6792
padma'i,6780
ma'o,6756
n'a,6740
'gog,6725
sa'i,6721
phul,6716
ris,6709
'tsho,6698
dha,6653
lcags,6648
gzhon,6635
gtsang,6625
bkur,6618
bsrung,6603
nyin,6598
tsa,6583
brlabs,6566
bsgrubs,6554
gam,6490
'byed,6484
sdom,6482
bram,6480
gzhung,6422
li,6403
blang,6381
dgod,6356
ral,6353
mgon,6353
mkhan,6342
lnga'i,6324
dor,6316
ngas,6293
mtho,6279
lang,6277
man,6274
spros,6258
snyad,6255
so'i,6239
rmongs,6230
mdzod,6199
slad,6179
phyung,6166
spro,6165
'dab,6152
k'a,6150
ka'i,6149
snyan,6105
bsten,6092
'grel,6086
long,6080
ras,6075
pho,6073
sgras,5968
smad,5960
gri,5951
badzra,5935
mug,5929
stan,5922
mnyan,5917
tshal,5907
bco,5899
gtor,5896
'jog,5893
me'i,5883
sgom,5871
sreg,5860
dben,5860
bcu'i,5843
bri,5818
bltas,5816
'da',5804
'dogs,5803
gti,5796
seng,5792
dbu,5785
kye,5766
ngam,5746
sh'a,5746
langs,5732
srin,5724
sdud,5719
'bru,5717
dra,5690
rgyur,5666
byis,5664
dbul,5656
skal,5654
rtags,5626
mong,5586
kar,5583
nya,5552
rdzob,5544
thig,5524
pra,5508
dmyal,5495
ched,5495
goms,5491
m'a,5481
'dren,5479
zhu,5476
zhus,5434
lhung,5359
r'a,5346
yun,5343
ze,5339
drung,5316
gzungs,5293
bsngags,5290
klu,5285
lce,5280
he,5273
khri,5259
gros,5258
'bad,5250
gdab,5242
yig,5234
dris,5208
lte,5196
bab,5151
spos,5147
chu'i,5140
bskul,5114
bris,5107
'debs,5090
dman,5086
sprin,5073
shas,5068
'bab,5066
mnga',5054
dogs,5045
gnyer,5023
tshang,5010
sred,4964
bod,4949
mun,4944
gdan,4940
grogs,4919
dug,4916
bsags,4883
skra,4876
gzhal,4865
brnyan,4864
dril,4863
dgag,4860
s'a,4856
bong,4853
mi'i,4851
au,4850
lo'i,4848
sras,4848
'os,4834
nyal,4832
lugs,4828
mor,4816
sar,4796
'thad,4792
gnang,4768
ae,4765
rus,4755
cang,4739
rgyu'i,4721
gdul,4706
bgyid,4700
mal,4674
ge'i,4673
gso,4662
sarba,4655
gdung,4645
skyong,4641
zhag,4633
stegs,4608
sbyangs,4600
gling,4594
t'a,4571
tho,4556
logs,4550
gdags,4542
p'a,4542
ri'i,4529
'gag,4484
tshol,4444
rmi,4431
gnon,4397
bzhir,4397
dbugs,4388
dkon,4385
mnyes,4376
'don,4348
brtse,4339
drangs,4334
skyabs,4330
sgyur,4328
khrod,4312
phal,4310
gshin,4274
phrad,4272
ngang,4271
dur,4263
gru,4263
na'i,4253
tra,4244
shugs,4218
pi,4216
rlabs,4211
bkag,4198
skur,4193
bshes,4181
dpyad,4179
brlab,4165
tshur,4160
nan,4157
'khrugs,4100
gzi,4082
thod,4077
sv'a,4062
mnan,4053
brtul,4033
mjug,4022
dung,4015
btung,4006
dar,4005
zos,4001
byar,3990
dud,3974
dpung,3961
mtshar,3957
btsal,3956
dbyung,3941
phat,3928
lho,3886
rtsod,3884
ho,3872
ba'ang,3858
sgra'i,3853
gsod,3852
tam,3846
zil,3843
los,3838
'bum,3828
nags,3827
gdong,3826
skrag,3825
bcing,3824
dbyibs,3815
tshim,3802
mam,3795
rtsom,3793
hi,3792
nyung,3791
ster,3776
bgegs,3764
'brang,3755
gtam,3748
grang,3720
gdugs,3704
yangs,3699
'pho,3694
sku'i,3674
bca',3668
skyo,3646
mgrin,3644
b'a,3642
bgyis,3638
'phrog,3624
ngu,3623
gro,3594
rgyus,3578
'phro,3568
bzhis,3565
sbyang,3546
chang,3536
dan,3527
be,3523
th'a,3522
lngas,3516
klung,3493
brjid,3488
ldang,3481
dbyer,3476
mda',3471
skar,3466
dhi,3449
'dri,3448
brkyang,3446
spu,3444
wa,3426
glu,3415
dgyes,3413
khrus,3409
gnyid,3399
zhags,3396
'gags,3394
nga'i,3390
'bring,3382
chog,3374
chus,3350
sgrol,3331
na'ang,3327
sbrul,3320
bkra,3299
brang,3296
ne,3279
dags,3276
gleng,3270
'dor,3260
la'i,3259
dong,3257
y'a,3254
ai,3252
