stem,idf
shag,5605
khru,5584
skyang,5569
pra,5550
myal,5499
drung,5489
dren,5488
kra,5472
lhung,5360
skra,5345
yun,5344
gug,5314
kri,5286
snam,5284
nga',5259
yig,5234
geg,5232
bug,5222
rtsal,5208
lte,5204
deb,5119
sprin,5073
dril,5056
rtul,5049
phrad,5042
yag,5038
shug,5021
sham,5006
sla,4988
mun,4976
sred,4966
ngang,4880
rnyan,4870
s'a,4865
nyal,4862
au,4850
san,4847
srang,4788
ae,4765
steg,4725
gyid,4721
sil,4706
mal,4703
sarba,4655
gling,4595
t'a,4571
phal,4554
p'a,4542
ngu,4526
sgral,4473
rtsad,4455
rmi,4450
tra,4443
ngal,4413
spu,4385
zi,4376
gye,4345
dur,4327
khrad,4322
gla,4302
kag,4260
pi,4234
ldang,4204
tshur,4186
kyu,4170
rga,4168
rkyang,4088
sv'a,4062
tung,4049
tsal,4036
pung,4007
gur,3998
'i,3966
nyung,3963
phat,3928
khyud,3926
na',3926
rnga,3922
sti,3915
mam,3881
deng,3869
ljang,3856
byib,3847
zil,3844
skrag,3841
byer,3825
tshim,3823
rma,3815
ngar,3815
ma',3800
ster,3777
klag,3755
glu,3747
hu,3745
yeng,3745
ching,3703
ca',3682
khrig,3680
grin,3661
zha,3656
khad,3618
be,3588
gram,3538
th'a,3522
rdzun,3514
klung,3497
kang,3493
rjid,3489
bring,3484
gleng,3482
khung,3474
yam,3468
rgyab,3461
ne,3438
wa,3426
kru,3421
slu,3419
phab,3408
se,3355
gul,3343
sba,3329
sbrul,3320
de',3313
rgad,3306
ska,3272
dum,3261
y'a,3254
sta,3253
ai,3252
tad,3207
sbrang,3206
yal,3193
si,3187
ki,3182
car,3171
yum,3167
dvags,3149
tum,3116
stag,3107
kug,3089
n'i,3073
du',3037
blug,3017
tsandan,3012
gyen,3004
yung,3002
zhim,3001
dzi,2993
than,2987
ham,2967
sva,2960
lci,2932
zhed,2900
zan,2897
phar,2896
bh'a,2871
sgran,2854
yab,2849
bu',2832
rtseg,2829
n,2809
dzam,2801
gyad,2795
grib,2788
chal,2786
rtsub,2780
tsi,2775
sh'akya,2766
byan,2764
dal,2763
dzub,2724
pham,2722
shang,2714
lar,2701
gya,2699
bal,2692
sun,2683
zed,2676
l'a,2668
phur,2665
dh'a,2662
rgyar,2657
til,2657
khab,2654
spyir,2637
phrin,2599
ts'a,2590
ngul,2581
rjed,2573
beb,2572
r'i,2556
cur,2554
glag,2549
grad,2547
spab,2531
shva,2487
zlum,2485
rgan,2483
zur,2475
zar,2463
grar,2451
lhun,2446
yu,2442
dz'a,2440
