stem,idf
gzhagsnod,2
dh'as,2
dgude,2
pakto,2
brtagzhi,2
saddhya,2
grih'a,2
pa'odbyibs,2
myanytsoo,2
phyuggos,2
bya'o'das,2
dagshas,2
tsame,2
siddha'i,2
toott'am,2
cigyud,2
tv'atstsa,2
cigyun,2
sitsa'ang,2
banba,2
ditra,2
ksh'e,2
gimdo,2
daggzhom,2
phrur,2
satpushp'a,2
dh'amn'a,2
rtye,2
t'aba,2
aakke,2
tr'addha,2
aakki,2
tshigri,2
pa'ilha,2
pa'orung,2
su'olha,2
ro'od,2
narsha,2
ro'og,2
nho,2
nokhrag,2
nasha,2
sosdig,2
bkagzhes,2
tsushtsyo,2
pa'oglegs,2
tvashti,2
ru'u,2
phogsrin,2
koongku,2
dada,2
d'ansa,2
aattar,2
k'apu,2
k'api,2
braddha,2
k'apa,2
r'itra,2
brishtya,2
dragwa,2
aadhy'a,2
bh'arsht'am,2
sorba,2
bkag'dir,2
baktv'a,2
pa'odrang,2
gcigbskyed,2
sha'm,2
ghantu,2
lehmi,2
bashts'ata,2
dodus,2
nishpu,2
kyidbye,2
tamp'a,2
'dzagko,2
dangbzod,2
myed,2
nayang,2
a'arnnu,2
sv'u,2
bgyisdom,2
bhurbi,2
shushya,2
mriksha,2
pakte,2
'dugyon,2
la'di,2
mutpannotpanna,2
hartta,2
nika,2
pnytsa,2
m'ardzmi,2
druggsum,2
sregbya,2
raghu,2
'dzagsnad,2
s'utsa,2
aardhartsa,2
cignu,2
drishth'a,2
pa'ogsal,2
bhinn'i,2
dagsgron,2
pulla,2
ritt'i,2
ritt'a,2
pokka,2
tasm'atpra,2
sh'astushtsa,2
dyotta,2
dag'gog,2
past'am,2
ciglhun,2
britma,2
pushpya,2
siktam,2
yakasha,2
mdog'dra,2
batn,2
diwa,2
gapri,2
d'arsha,2
tisa,2
nishthyu,2
mdogdpal,2
drishthi,2
tur'a,2
tanynya,2
lalegs,2
h'itpu,2
shigmtshon,2
gragkhyod,2
thaka'i,2
audbh'a,2
satsha,2
terlo,2
rapsa,2
daglongs,2
bhismam,2
bellaksha,2
gcigdon,2
band'u,2
sphunda,2
dandhu,2
pa'oskyon,2
llaksha,2
thigphyogs,2
aiksh'u,2
cig'gron,2
gatti,2
cakshu,2
sat'am,2
bashme,2
shvangga,2
tstshand'a,2
bshig'di,2
kamu,2
bya'oskye,2
pamtshungs,2
gad'a,2
tog'jig,2
d'aba'o,2
t'artti,2
sh'atsu,2
shakhrag,2
kashug,2
dagphag,2
kr'um,2
nikshe,2
tudh'a,2
yugm'a,2
mda'g,2
dzdza'i,2
k'anydza,2
thagthal,2
santh'a,2
gasbrang,2
b'agb'a,2
skhya,2
mthugnas,2
tushni,2
b'alla,2
bhmi,2
thagsrog,2
pat'u,2
shogspyan,2
pat'i,2
shv,2
gosgyu,2
gitshe,2
wyantoo,2
gobrjod,2
madzdzam,2
bkugyang,2
tirnni,2
kamdus,2
lakha,2
shri'a,2
shtshindi,2
damshtsa,2
durdha,2
pidha,2
danglhag,2
ssardh'a,2
gadha,2
men'a,2
byugsor,2
dostobs,2
yassa,2
ninynita,2
dugkha,2
byakhyad,2
ngaga,2
pasm'ar,2
'dzagphyi,2
ganbhe,2
bdagrgyal,2
gyisgang,2
nabhikshu,2
'jugnang,2
ciggangs,2
kesi,2
kesa,2
b'atpa,2
autsha,2
nardzogs,2
kpap'u,2
topha,2
rolam,2
sh'ashi,2
sgum,2
tharbba,2
dagsmon,2
kull'a'i,2
dhisth'a,2
sngab,2
nusha'i,2
wra,2
drugnyin,2
d'asa,2
r'adzny'am,2
m'ura,2
aeendha,2
drugphag,2
r'arka,2
yanggang,2
'di'jig,2
damma,2
shigmed,2
gitshul,2
byasrang,2
'dugskag,2
bcugskar,2
h'adbha,2
k'irnnoo,2
yakshee,2
k'antya,2
grihantu,2
dangnyes,2
ninta,2
dh'indri,2
phogyab,2
rinma,2
btoo,2
bkagrtsib,2
dugrim,2
phygos,2
nisteng,2
sp'i,2
sh'urksha,2
yismig,2
na'dir,2
yaskam,2
niklu,2
dzrva,2
la'onga,2
kakshoo,2
gzhugphyung,2
praskandi,2
gzhagsreg,2
pantam,2
tbhy'am,2
n'e'o,2
pishth'a,2
byomna,2
'grognas,2
dishya,2
lasskye,2
mudgar,2
duddhri,2
shashu,2
harh'a,2
kyanggnyis,2
dang'phags,2
shogsnang,2
shvang,2
shv'i'o,2
dangbden,2
shoggnyis,2
pr'agbrittam,2
gcigster,2
babla,2
musti,2
phyug'dod,2
bya'osku,2
pa'odbus,2
shogkho,2
pradzny'e,2
pad'a,2
tvaddarsha,2
cigpho,2
gyisrang,2
khunta,2
nirdva,2
p'ardra,2
aanydzas,2
ht'i,2
mdogh'um,2
jakkha,2
shogdag,2
ludha,2
shogdal,2
gcigtsi,2
tasminpi,2
harshotphulla,2
tat'a,2
tat'u,2
thutsa,2
thanna,2
sven,2
dzargri,2
rograg,2
shigdrang,2
bdugbdud,2
gathod,2
dag'ju,2
bzhagrang,2
kshund'a,2
rikshe,2
ngag'dod,2
lagsang,2
rakha,2
dh'im,2
samtthi,2
migdbye,2
kany'a,2
tarma,2
'dugrdeg,2
sukta,2
tusth'u,2
yasht'i,2
tyuktee,2
krmma,2
bya'o'dis,2
phogkhu,2
lognyis,2
stehe,2
rtogblo,2
moorb'i,2
g'irti,2
k'ant'i,2
tsaddhvam,2
madya,2
pa'oskra,2
sh'amb'a'i,2
dbhy'a,2
shukra'i,2
purbe,2
ghranti,2
dagkye,2
byadga,2
tortogs,2
byadkyil,2
ghrantu,2
prishtsi,2
tyadra,2
b'urnna,2
bdaggzungs,2
gzhuggar,2
spu'i'o,2
t'ann'a,2
aau,2
nongga,2
kek'a,2
malha,2
sduggnod,2
kamo,2
hnya,2
audgandhi,2
tsand'am,2
shoggzi,2
lbam,2
chugci,2
skren,2
tsamp'a,2
m'adhi,2
skreg,2
'gogre,2
tsh'ad,2
'jugltag,2
gzhugskar,2
tr'andha,2
tyuta,2
bidhoo,2
k'astvam,2
gzhugrtsa,2
phyugbyed,2
shigsh'akya'i,2
sth'an,2
thilla,2
gzhagrlung,2
rbha'i,2
n'ashtsi,2
yaddh'a,2
part'i,2
sorgya,2
bikt'at,2
tyug,2
gzhigde,2
da'i'ang,2
sidhyam,2
shyanytsa,2
dhyoshtsa,2
prish'a'i,2
tebshang,2
ma'ogzhan,2
yadbishnu,2
ghonta,2
kayug,2
togyi,2
togye,2
kabha,2
'gyurma,2
aishtha'o,2
kebud,2
ntram,2
bya'orjes,2
kshina,2
shamri,2
tslisi,2
shigphyin,2
shigphyis,2
aushna'i,2
yatti,2
yatte,2
aunmu,2
medskye,2
mloo,2
kamau,2
kamar,2
kyangmthe,2
canthams,2
ngobad,2
sh'akt'i,2
gumpha,2
nvata,2
shunti,2
m'anya,2
glunyts'it,2
tunydza,2
gtsugdbang,2
regsa,2
b'anbhakta,2
rig'dam,2
gzhagdbus,2
kukka,2
migdbugs,2
prodbhu,2
sharshi,2
sharsha,2
sharshe,2
bidyam,2
makke,2
ngoci'i,2
shvitkam,2
mittra,2
lakshan,2
tannam,2
ghunydza,2
bdhya,2
hardi,2
tyamba,2
dznyapt'a,2
bosti,2
cigrdul,2
apa,2
bheesha,2
dushd'am,2
prahme,2
thkthk'i,2
cigkhyer,2
dagsgur,2
terda,2
phragde,2
mchognya,2
gosha,2
sying,2
gcigskyes,2
mdogrgyab,2
phyug'jig,2
mdogrgyan,2
rokhong,2
dugstang,2
kamaam,2
cigmthong,2
grinta,2
tsuta'i,2
solam,2
doddha,2
kadzan,2
sdugrnags,2
robrjod,2
kyirdo,2
t'adzdzoo,2
na'olan,2
glem,2
drugbde,2
gler,2
s'antam,2
bya'osmon,2
pasbdud,2
shogthig,2
'jugdus,2
bakshye,2
dhigdzanma,2
rigsa,2
tosngon,2
k'ad,2
la'okra,2
bodhya,2
'jug'dir,2
teerbh'u,2
m'andu,2
nyidbdag,2
bhardze,2
tyaktam,2
podus,2
shphaka'o,2
n'att'a,2
gzhugdbang,2
mchogskal,2
bya'orgyu,2
byugbad,2
gzhugdza,2
shiglo,2
bishto,2
rmy'a,2
nargga,2
banbhu,2
monya,2
tsv'a,2
matpa,2
ngosnying,2
brakshya,2
dagm'a,2
phyugba,2
dzanto,2
aaty'a,2
gtstshantu,2
dotshad,2
mnga'a,2
gnasrang,2
bcugdbang,2
shungdhe,2
naphung,2
yorbha,2
nini'o,2
ty'artha,2
grunyi,2
joo,2
kyicho,2
autp'ad,2
gzhuggshin,2
byanne,2
shektha,2
thagsbyin,2
mdogdra,2
nash'um,2
binda'i,2
bdagg,2
pr'agdzanm'a,2
thigthig,2
byasha,2
romes,2
durig,2
shyeed,2
sden,2
nary'i,2
pr'agbhi,2
stambhi'i,2
skanta,2
k'arba,2
du'otshul,2
cigngang,2
kyismchog,2
masmee,2
bartishnu,2
gyi'ogal,2
aasba,2
naskri,2
durby'a,2
garkyang,2
gnagshar,2
yiyul,2
barhe,2
brasdza,2
yamm'a,2
d'arb'a,2
brtagkun,2
mutpu,2
migri,2
migro,2
passhes,2
migra,2
ngosbyin,2
ga'gro,2
kurbandu,2
pa'o'dzem,2
t'asbas,2
gyu',2
k'u'i,2
mokkha,2
p'adbhy'am,2
ngu'os,2
gzhugpha,2
danglen,2
sv'arsh'ita,2
aangge,2
mdogthod,2
thaggzhan,2
na'oci,2
k'ampa,2
k'ampi,2
yotstsha,2
boddhri,2
gusna,2
cigkhri,2
gurna,2
bdagda,2
phyirdbang,2
aa'ing,2
drugzla,2
y'agni,2
kubha,2
lakshmoo,2
rtoglha,2
rdagdha,2
d'at'a,2
tritta,2
r'ash'a,2
wing,2
logrtsol,2
kampan,2
sakt'i,2
pa'ozas,2
a'admar,2
munne,2
pusti'o,2
duddha,2
dumpa,2
shy'a'i,2
kurbbe,2
ronytsa,2
sih'a,2
nydzi'o,2
sha'a,2
gzhagphyag,2
tsangga,2
terin,2
bhasman,2
bhasmam,2
gcigsmre,2
pa'ortags,2
dgagsgro,2
dgechos,2
gangg'am,2
dapa'o,2
zhigdge,2
shtha'o,2
pr'ashtam,2
togdon,2
ba'othob,2
bzhin'ang,2
svarg'a,2
lambhyam,2
m'urddhni,2
r'adba,2
shleshm'a,2
dha'os,2
go'du,2
b'anma,2
dge'di,2
brattam,2
ttim,2
kh'artt'a,2
yislha,2
sdigskye,2
togphyag,2
'gyurlha,2
'odrdo,2
aa'os,2
randar,2
yokt'a,2
keerni,2
byung'jig,2
keerna,2
drug'thob,2
mdogyin,2
lamar,2
gzhagbcom,2
migthams,2
nanna,2
nunta,2
lit'a,2
sh'azhes,2
doyan,2
naya,2
smrag,2
zhigbskal,2
dast'i,2
ne',2
dursha,2
pisht,2
gangg'a'o,2
syashtsa,2
zho'i'o,2
badbh'u,2
gimchod,2
l'ast'a,2
shigkhyad,2
shigkhyab,2
thagbcas,2
rdho,2
krot,2
mdogphreng,2
sarggya,2
'jugri,2
birti,2
zhigglags,2
gnasslob,2
dguglte,2
y'arya,2
tshigba,2
satsa'o,2
'dugrta,2
bartmi,2
pa'ostobs,2
sunta,2
pushtsa,2
bh'ikshu,2
cigrdzas,2
godbyangs,2
shodh'a,2
liksham,2
brtagyul,2
bdag'grub,2
yispadma,2
shvita,2
togchu,2
raghu'i,2
guzla,2
layi,2
totpa,2
dragblo,2
ddoo,2
gbh'u,2
tsakashu,2
sdigsdig,2
pa'iskye,2
bgostod,2
bhy'am'o,2
mchogmya,2
peshta,2
peshti,2
bbhi,2
sukku,2
lassangs,2
bbha,2
labdho,2
labdhu,2
mishte,2
ciggti,2
dagbtsun,2
a'atsarya,2
tsitku,2
tasm'atstsha,2
ni'phags,2
maho,2
thagrma,2
mahe,2
aota'i,2
shastadya,2
bedham,2
mchogljang,2
trot,2
nodbh'u,2
bahbri,2
mchogrgyan,2
mml'i,2
by'asti,2
khsu,2
nagtan,2
dgoszhes,2
dagzung,2
nishth'i'i,2
somchog,2
barsangs,2
narbhoo,2
bya'oshar,2
rtra,2
zugces,2
klogkha,2
sh'ast'am,2
rasm'a,2
kshna'o,2
y'urnu,2
baphyag,2
gzhagchad,2
gnagthal,2
'gyurrdo,2
ka'ode,2
gashar,2
dhyangga,2
tstsu,2
dh'upa,2
dangsrog,2
katstsho,2
miggdon,2
tegzhan,2
mchoggti,2
log'gongs,2
p'atpa,2
drugzhib,2
lall'a,2
aandzi,2
shadmu,2
rapa'o,2
pa'olung,2
dzikrdo,2
pa'ortsa,2
r'ashtsarya,2
pa'istong,2
aabhya,2
dag'char,2
tpr'a,2
h'akad'a,2
bhrashdzi,2
landa'i,2
tastee,2
patk'a,2
tratstsha,2
stekhro,2
grunytsa,2
ty'atra,2
rdza',2
pradya,2
yadhu,2
gcigskya,2
sarthe,2
roba,2
kshutra,2
bhrashdza,2
parbe,2
tko,2
dvendve,2
cingyang,2
a'ahva,2
lasrnam,2
barnas,2
dangzho,2
byapta,2
nurbbi,2
tudzny'a,2
radg'a,2
rgyu'obyang,2
bregdge,2
radg'i,2
k'it,2
dzodda,2
bgocha,2
tsakro,2
pa'osmin,2
dangbral,2
minbde,2
byader,2
n'a'am,2
dh'urta,2
pant'a,2
dosgo,2
bhukshan,2
ngagshes,2
katth'a,2
mchogbum,2
shogkhyer,2
tedgos,2
dodgra,2
langgha,2
s'ashtsa,2
gcignyan,2
mchoggshin,2
dhrmm'a,2
de'ode,2
dangreg,2
dgagdrag,2
ngobyin,2
goyul,2
dagdhi,2
dagdho,2
kyidbang,2
yugpa,2
shmam,2
shman,2
gzhagshing,2
gragzhes,2
hastyam,2
dvita,2
y'asmee,2
ciggzungs,2
dbrogchang,2
kutt'a,2
bitshi,2
nyana,2
nimnam,2
rorin,2
phugske,2
thutsa'o,2
marna,2
gona,2
gzhugthog,2
ngku,2
lad'a,2
r'ahu,2
damdes,2
ba'oreg,2
mayang,2
rasmya,2
nireg,2
bidzi,2
bimbooshth'a,2
bidh'ansa,2
tshi'u,2
balha,2
phyagsde,2
bragta,2
muktva,2
cigzhing,2
a'irshy'a,2
mnytsa,2
stertag,2
'jugsngon,2
sobsnyil,2
zhiggtsug,2
gzhag'jam,2
shogmdo,2
sdugkhu,2
smugglo,2
bzhinshin,2
la'ornam,2
latshangs,2
gcig'jug,2
skyede,2
shignyon,2
k'antim,2
phyugmkha',2
gotsa,2
mde'ur,2
rnyig,2
gigcin,2
mudbhya,2
aasmri,2
shagha,2
didmu,2
zheb,2
n'om,2
tomon,2
dagbsdu,2
phyirshin,2
bende,2
bendo,2
byartham,2
a'atmi,2
t'inti,2
totshig,2
gzhagdar,2
nindu,2
logstan,2
autkrishta,2
w,2
gzhagdal,2
gzhagdam,2
kinytsu,2
shadbhy'am,2
lagser,2
bzlogsngar,2
bdagla,2
klagdge,2
candri,2
preng,2
nichang,2
padta,2
sdhvo,2
shigdgon,2
chuglas,2
tpi,2
dhy'anta,2
gcigbdun,2
cigskyabs,2
syotta,2
yotp'a,2
rarka,2
mchogzhun,2
thiggnyis,2
shigrna,2
shig'gyod,2
bhyasa'o,2
migcha,2
dh'artu,2
m'atri,2
dagmun,2
dadbhi,2
tsla,2
rtog'dzin,2
bhasmin,2
rtogye,2
srapt'a,2
yushtam,2
bagta,2
shtana,2
cigphal,2
lagrdo,2
rinpa,2
kunte,2
surma,2
t'amb'a,2
kridbha,2
t'amb'u,2
brag'di,2
audi,2
drugnub,2
shanggu,2
m'utstsh'a,2
tanggri,2
dardru,2
p'urb'an,2
gobsam,2
shvid,2
dzagr'a,2
thaggzugs,2
kadda,2
tarkku,2
gaku,2
gzhugbadzra,2
aadhy'atma,2
yutth'a,2
mdogrjes,2
bcugzhor,2
dagrmad,2
argha'i,2
aam'o,2
guptoo,2
'ogdbus,2
aasmatpu,2
bb,2
sogsal,2
gikhyim,2
by,2
ruhi,2
svastho,2
kshe'i,2
paston,2
dyasmee,2
tallo,2
yisangs,2
tishva,2
pa'oni,2
'jogdngos,2
syaste,2
rtogzhes,2
byashr'i,2
'juggcig,2
dag'brel,2
r'atm'a,2
noku,2
sogong,2
aagne'i,2
sanm'argge,2
dag'phro,2
sh'anto,2
sena,2
birla,2
yipha,2
nasmya,2
botpa,2
shatstsa,2
bhanyja,2
tyarthe,2
ky'at,2
dantsa,2
briddhoksha,2
b'andi,2
nghut,2
gzhuggzar,2
dolhun,2
gzhagyul,2
tsinm'a,2
pa'oklu,2
phyagme,2
phyagma,2
padngos,2
au'i'o,2
'dugbdud,2
dag'am,2
dzagdhi,2
b'anbha,2
zhigzhes,2
benu,2
gyirtog,2
neeranydza,2
bendri,2
npa,2
barbartmi,2
skrug,2
dudbh'u,2
adzra,2
aosh'anytsa,2
'jugrmya,2
manydz'u,2
kanytsir,2
kroom,2
zhingmi,2
parnne,2
gisgron,2
shvana'i,2
lhagsha,2
sth'e,2
gzhagbzlas,2
nerthe,2
yoktram,2
s'ashtsarya,2
rabh'u,2
kasku,2
hinsa,2
phrva,2
srog'byung,2
bektu,2
bgornyed,2
syendri,2
cigmi'i,2
mozla,2
raktsa,2
soaa,2
k'irshe,2
bhyarnna,2
zhingrang,2
shlu',2
medzhag,2
ldogdes,2
rdzdzi,2
kishti,2
nibla,2
niblo,2
mandr'a,2
niso,2
h'adha,2
d'astu,2
tortha,2
dagka,2
dagku,2
brahmi,2
drugmtha',2
nasme,2
zhigzhe,2
turdv'i,2
dangtshogs,2
gzhagngos,2
bzlogmthong,2
dnno,2
tasti,2
b'anbuddha,2
muttra,2
margata'i,2
shant'i,2
d'adba,2
d'abdhi,2
nodang,2
n'ardhe,2
dzny'ashtsa,2
tharbana,2
parbata,2
aaindra,2
theshta,2
brtaggo,2
rendra'o,2
katsitta,2
sogzungs,2
shashthoo,2
hasnu,2
phr,2
m'urti'o,2
m'urti'i,2
nispha,2
shishy'a,2
harti,2
byug'bras,2
h'arshe,2
man'i'i,2
bcagyang,2
tansu,2
aandhya,2
ba'origs,2
thyana'o,2
dagmyong,2
b'anddha,2
likaom,2
basangs,2
k'anta'i,2
tshrita,2
bya'omed,2
dagn,2
gcigdril,2
gzhagkhong,2
srognam,2
dagnyal,2
rekt'a,2
brtagbstod,2
roskad,2
pa'osa'i,2
shogrnga,2
kyapa'i,2
khala,2
lw'a,2
ra'a,2
b'akyo,2
godngos,2
yangku'i,2
gopadma,2
shrinma,2
pangma,2
mdogrnags,2
gt'a,2
hridbhya,2
phyugde'i,2
aarthya,2
bhasm'a,2
dzasha'o,2
gyurkha,2
gonor,2
tsanni,2
pluta,2
gartya,2
'jug'thab,2
nakhyed,2
aanra'o,2
kshetra,2
nobram,2
dvisht'am,2
dhruta,2
dvisht'at,2
stegsal,2
darna,2
prashtoo,2
rpam,2
byaddha,2
yorgu,2
kyangji,2
gordzas,2
zhigsdug,2
brtagrkang,2
dhrutsu,2
'gyuryang,2
ghroo,2
kashtsh'a,2
aasn'a,2
brikna,2
aagre,2
bandhoo,2
svargam,2
byugbla,2
karsh'i,2
bklaggzungs,2
prana,2
shogrta,2
dhdhl'i,2
bh'utsha,2
spangzhes,2
aunytsha,2
ldogdper,2
dhashts'a,2
pakshnu,2
dhrak,2
phyirgsal,2
rdhvam,2
svandza,2
shattha,2
kinte,2
ratnar,2
migrdo,2
yarhi,2
zhiggsang,2
tsumpi,2
drugphyi,2
bhni,2
goshtha'o,2
dangphyogs,2
s'andhi,2
d',2
matsa'o,2
s'andha,2
stebyang,2
p'urbya,2
dangthe,2
dangtha,2
shatshya,2
gayum,2
t'atta,2
mchogsdang,2
gzhagtshe,2
'phrogphung,2
shandam,2
phyirdga',2
shimbha,2
p'akta,2
tshigsngon,2
takshna,2
nimdzes,2
dusse,2
balpa,2
bitstsh'i,2
gh'a'i,2
sh'in,2
gh'a'o,2
ngun,2
tosku,2
pamchog,2
traksha,2
tsarpa,2
bakt'at,2
y'abhi,2
dugnas,2
thk,2
badzdze,2
brtagbkra,2
mormi,2
aasme,2
sh'asmi,2
bsamdbus,2
dhuntud,2
shoglum,2
sendu,2
lceg,2
mudgh'a,2
soo'o,2
bishtoo,2
wangs,2
kasarba,2
yatn'ad,2
pa'osgo,2
bsregbdud,2
brtagkhru,2
mchisdig,2
dhy'atmam,2
nonor,2
t'artham,2
krasha,2
thv'im,2
ga'bras,2
ghy'am,2
k'apra,2
rast'am,2
s'it'a,2
m'ansoo,2
dzagl'a,2
b'adi,2
kamgoo,2
rakshyanti,2
tre'u,2
'dzagmtshan,2
khy'ad,2
dardza,2
grigsum,2
khy'an,2
doye,2
doyi,2
durn'a,2
trampa,2
shi'a,2
'jugbdud,2
meddngos,2
bn'a,2
g'ita,2
aukti,2
aukte,2
gragrnam,2
sotstshva,2
sarp'im,2
sothog,2
ldanlag,2
heg'a,2
aushan'i,2
nirgrantha,2
kriksha,2
kashtsid,2
mosgrib,2
tird'a,2
dpog'di,2
zhigsna,2
gabhu,2
w'antoo,2
ma'origs,2
sishmi,2
shakro,2
sdugdon,2
nee'i,2
lik'i,2
payid,2
sastra,2
w'i'o,2
tasye,2
sh'antra,2
ngodes,2
bisnu,2
dangmthong,2
'jugrtog,2
phanya,2
p'arnni,2
phanyi,2
yansi,2
thurbb'i,2
'jugshing,2
konyastri,2
dhinta,2
sobho,2
ba'irnam,2
bsregkhu,2
todbul,2
mashto,2
ee,2
rnamsgzugs,2
tyasm'a,2
aama'i'o,2
lmi,2
go'on,2
thegdbang,2
la'opi,2
bdagche,2
greshma,2
cigsgo,2
aurbba,2
nosnying,2
b'urbba,2
bri'di,2
bhokshyante,2
pratha,2
stedper,2
gtsugdpal,2
natmi,2
yitstsha,2
dagbrkam,2
s'atra,2
shrishta,2
syeta,2
gzhugltogs,2
sophyogs,2
khragbrgyad,2
tsvang,2
khl'i,2
nosbyor,2
cigdmar,2
nala,2
rmra,2
rosngar,2
bhyakta,2
phalka'i,2
ga'dzam,2
by'apno,2
kiku,2
canrnam,2
sha'nti,2
godang,2
lidgi,2
lidga,2
'dzagtshigs,2
shogh'a,2
aodma,2
tvidbhi,2
togaa,2
rignyon,2
'jugda,2
a'urma,2
mdogda,2
gwa,2
gzhugdbus,2
ptas,2
drugbsten,2
miglci,2
steme,2
sh'anmi,2
'jugres,2
yanya'ang,2
shastr'agni,2
tadkham,2
shoggcig,2
h'urtte,2
stedmar,2
bhirbhu,2
dangdgag,2
gesha,2
rtogkhyad,2
a'attam,2
aarb'a,2
dangdga',2
khragsems,2
pushtha,2
ts'andra,2
trapa,2
rdee,2
aasman,2
cigphrag,2
bhargi,2
bo'ode'i,2
stshan,2
drugrtsa,2
shrutv'a,2
soklan,2
aarnu,2
g'arggya,2
aarni,2
m'atmadzam,2
nmu,2
bcagde,2
k'agni,2
cig'brel,2
ltsa,2
sphe,2
sarbb'artti,2
cigmir,2
yingcig,2
aarghya,2
phyag'di,2
rdegces,2
lasmi,2
m'and'a,2
y'ab,2
k'ashthanytsa,2
dzamdha,2
tistad,2
b'artham,2
h'astha,2
mntal,2
'gyurskad,2
shing'od,2
k'astri,2
shigsgoms,2
mutkri,2
pa'idbang,2
gzhagphung,2
gzhugaa,2
noder,2
mindes,2
migbkru,2
migbkra,2
'jugrlung,2
k'irsh'am,2
sadz'a,2
pogskra,2
tyaktya,2
dagrgan,2
nigzugs,2
gcigrgan,2
dakti,2
roro,2
bya'olan,2
rore,2
aoornna,2
bya'olag,2
bhv'i,2
rdrishtv'a,2
siti,2
bcugslar,2
rastha,2
r'itt'a,2
aabb'a,2
brindee,2
cigkhrag,2
badhvoo,2
ni'byor,2
rtog'gro,2
niktam,2
tsakshurbi,2
aarhada,2
pa'ogzungs,2
gcigbyang,2
kroddha,2
sarw'i,2
tanm'am,2
bishli,2
dzny'ipsati,2
bdagmche,2
bdy'i,2
nibrtan,2
yanga'o,2
yanga'i,2
aan'a,2
harsh'i,2
t'amme,2
myig,2
yitha,2
dangnad,2
graggang,2
pui,2
duna,2
pub,2
put,2
tatpr'a,2
bya'o'og,2
raddha,2
gignod,2
sherb'a,2
tr'ante,2
tanno,2
nushtsa,2
pull'i'i,2
b'agmi,2
l'asye,2
kare,2
karn,2
'dzagmnyes,2
rangga'o,2
rigrang,2
gzhuggzugs,2
y'artham,2
dzina,2
gcigslar,2
medsems,2
shigbyams,2
n'anba,2
byeddam,2
shign'a,2
koodku,2
yusmad,2
girten,2
mchogchang,2
katpha,2
rdrishta,2
cigbrtan,2
k'aksha,2
l'arkka,2
k'akshi,2
gy'ata,2
shogrgyan,2
phyirrang,2
nimtshan,2
bhaktv'a,2
a'irshi,2
bhrida,2
satambha,2
langga'i,2
rishi,2
bingsha,2
bdagbad,2
ksh'i'o,2
bsregnad,2
dzaham,2
gzhagdu,2
autbha,2
nokoo,2
shtum,2
sorjes,2
byadza,2
tentra,2
stenges,2
mudka,2
bengga,2
h'akra,2
nard'a,2
hrl'im,2
h'andhe,2
m'iny,2
byugseng,2
y'atha,2
bhudbhi,2
nirbhart,2
tshigtha,2
gisngar,2
k'armma,2
aarb'antoo,2
rdv'a,2
barshishtha,2
dr'ant'a,2
sh'ak,2
bakt'ata,2
karth'a,2
k'adbhikshu,2
danbha,2
sgeng,2
y'akshma,2
bdagyab,2
nutpann,2
nigdza,2
zhoggal,2
phyugdon,2
dguggnyis,2
bhatstsha,2
naddi,2
b'itk'a,2
t'apt'a,2
slaksha,2
rtsum,2
dhasa,2
turnni,2
yin'phags,2
gn,2
nung,2
totkarsha,2
y'ashtam,2
b'ank'a,2
shogshal,2
shigchu'i,2
bdagmdog,2
airgu,2
rb'an,2
karakta,2
tebsam,2
sgyeg,2
khraglbu,2
poshdyo,2
hinydza,2
cingkun,2
byagni,2
daggso,2
sreggu,2
dragdmar,2
drinpa,2
dikta,2
yt'a,2
tadzdz'a,2
gcigshin,2
g'irnna,2
ba'ithams,2
tadpi,2
tashtsinta,2
lasrgyal,2
tadpa,2
bhinttha,2
klogaa,2
padpa',2
krinya'ang,2
shvatta,2
pur'a,2
w'agma,2
ditstsha,2
pa'opadma,2
a'irtsha,2
kushm'anda,2
datma,2
lagdga',2
autt,2
s'appa,2
goonydzi,2
ng'ab,2
phyim,2
ng'am,2
moda,2
shishto,2
sy'apta,2
yak'a,2
margan,2
margam,2
ritstsh'a,2
trasha,2
drikt'a,2
namshtv'a,2
h'urtstsha,2
bzhagba,2
dagrkyen,2
shirnna,2
nokhyed,2
kary'a,2
kushmandam,2
sthe'u,2
ginor,2
phyaglha,2
phyaglho,2
aats'a,2
dvishantu,2
'dugdbyar,2
tsd'a,2
dvishanta,2
bzhinrgyun,2
dzhdzh,2
styarthe,2
bragpra,2
pa'ozla,2
burbha,2
hada,2
dushku,2
dv'ansa,2
chugsmre,2
br'ata,2
ndantu,2
bokk'a,2
nashth'i,2
rardzu,2
shringgam,2
ganbho,2
shandhi,2
bya'oyi,2
aardhen,2
phagro,2
brtaggnyi,2
aakshya,2
dhnu,2
rudra,2
yatstsha'i,2
sadsu,2
'jogtheg,2
dagbshad,2
bh'ann'a,2
tsh'ishta,2
sh'anma,2
gciglas,2
gciglto,2
sindu'i,2
gciglan,2
hr'm,2
dhugdhvam,2
bikshva,2
dugsbyar,2
nyny'u,2
tatsitta,2
mchogkhor,2
nyny'i,2
'jugbyis,2
likshya,2
dgagyon,2
tstshardha,2
yagh'a,2
ba'obshad,2
bcuggos,2
dagthog,2
digga,2
tatstshando,2
nrirbri,2
shaktv'a,2
gciggsal,2
tpam,2
gcigrtsod,2
s'udzdza,2
th'ante,2
kartte,2
tarha,2
togsang,2
garhy'a,2
phyirbcom,2
tsara,2
rteng,2
tsari,2
kyisdge,2
krityam,2
hr,2
sterang,2
hn,2
klinne,2
geerme,2
basnam,2
du'oso,2
hisha,2
a'anydzita,2
n'aste,2
'ongsde,2
khreng,2
dz'agna,2
